GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC13,HC02_EST_VC13,HC03_EST_VC13,HC04_EST_VC13,HC01_EST_VC15,HC02_EST_VC15,HC03_EST_VC15,HC04_EST_VC15
0500000US48473,48473,"Waller County, Texas",50939,63166,71853,30117,68217,76831,N,41028
0500000US48475,48475,"Ward County, Texas",45938,58470,82663,19753,62708,76093,N,29643
0500000US48477,48477,"Washington County, Texas",49236,60258,70816,29347,61721,71138,N,38271
0500000US48479,48479,"Webb County, Texas",38679,41424,52196,20770,53183,56187,68321,34532
0500000US48481,48481,"Wharton County, Texas",41992,52065,61025,20632,55325,64631,N,33818
0500000US48483,48483,"Wheeler County, Texas",54382,62670,69907,29375,69328,77645,N,41454
0500000US48485,48485,"Wichita County, Texas",44854,56499,69623,26800,60427,72739,86265,35332
0500000US48487,48487,"Wilbarger County, Texas",41901,50060,62172,24240,50360,59028,N,31153
0500000US48489,48489,"Willacy County, Texas",27627,33634,41719,9934,39733,43137,N,21547
0500000US48491,48491,"Williamson County, Texas",72118,83741,93931,44210,87680,98519,109251,54964
0500000US48493,48493,"Wilson County, Texas",65760,73401,82708,30409,79132,86759,96138,43732
0500000US48495,48495,"Winkler County, Texas",52938,57703,67370,27033,62800,67930,N,36376
0500000US48497,48497,"Wise County, Texas",56338,64251,71969,35359,75193,82337,N,46407
0500000US48499,48499,"Wood County, Texas",44376,50683,55978,26077,59177,67106,N,37685
0500000US48501,48501,"Yoakum County, Texas",50167,62581,73603,25417,68404,76164,N,29499
0500000US48503,48503,"Young County, Texas",41589,55750,65335,20552,63533,74788,N,33843
0500000US48505,48505,"Zapata County, Texas",30758,34008,47255,23548,46543,50392,N,26631
0500000US48507,48507,"Zavala County, Texas",27253,35090,42716,10324,39632,45015,N,22789
0500000US49001,49001,"Beaver County, Utah",50685,60637,65160,20888,59741,70273,N,27534
0500000US49003,49003,"Box Elder County, Utah",57336,63804,68427,28920,68058,74942,80813,36603
0500000US49005,49005,"Cache County, Utah",50367,58374,62340,26692,64156,71962,76348,38132
0500000US49007,49007,"Carbon County, Utah",46366,60279,66952,20786,54714,65878,N,29708
0500000US49009,49009,"Daggett County, Utah",47188,59688,69286,20500,58783,72564,N,30649
0500000US49011,49011,"Davis County, Utah",70388,77577,83751,37888,84570,92083,99426,47930
0500000US49013,49013,"Duchesne County, Utah",60700,66713,71126,26299,70141,76886,N,39501
0500000US49015,49015,"Emery County, Utah",50653,58019,64655,27100,59606,66019,N,30642
0500000US49017,49017,"Garfield County, Utah",44914,49662,55766,30221,57350,64131,N,41875
0500000US49019,49019,"Grand County, Utah",44239,54926,65350,31493,54213,67498,N,35475
0500000US49021,49021,"Iron County, Utah",42305,51297,58847,24241,53041,60772,N,32660
0500000US49023,49023,"Juab County, Utah",56976,58940,62008,27750,61928,66169,N,36474
0500000US49025,49025,"Kane County, Utah",51213,62258,63181,29648,59920,70371,N,39135
0500000US49027,49027,"Millard County, Utah",51117,59122,65646,27054,59177,66784,N,33588
0500000US49029,49029,"Morgan County, Utah",79304,90333,92985,43250,96406,103153,N,50648
0500000US49031,49031,"Piute County, Utah",33250,45000,45313,15250,43730,52630,N,19028
0500000US49033,49033,"Rich County, Utah",50573,61250,65000,19663,75137,86471,N,28642
0500000US49035,49035,"Salt Lake County, Utah",61446,71398,80945,37139,78807,89395,100291,49379
0500000US49037,49037,"San Juan County, Utah",41411,49199,59926,18629,51096,58226,N,29398
0500000US49039,49039,"Sanpete County, Utah",48305,57540,60907,21303,60427,69842,N,29097
0500000US49041,49041,"Sevier County, Utah",46327,55139,59879,18059,54646,62322,N,27996
0500000US49043,49043,"Summit County, Utah",89886,100271,107445,56774,126253,136138,N,92708
0500000US49045,49045,"Tooele County, Utah",63077,67849,75610,35346,71955,77272,N,44627
0500000US49047,49047,"Uintah County, Utah",62363,67002,76286,32037,74962,80121,N,52732
0500000US49049,49049,"Utah County, Utah",60830,66063,71008,31952,75507,81676,87083,42790
0500000US49051,49051,"Wasatch County, Utah",65582,70812,76138,38669,82085,88035,N,54597
0500000US49053,49053,"Washington County, Utah",49498,57188,61439,25850,63408,69835,75161,40388
0500000US49055,49055,"Wayne County, Utah",43393,49583,51667,22857,55253,60508,N,34343
0500000US49057,49057,"Weber County, Utah",56216,64435,73455,31487,67922,76496,85544,39793
0500000US50001,50001,"Addison County, Vermont",59274,71138,80025,34057,73372,84799,95444,45511
0500000US50003,50003,"Bennington County, Vermont",49303,61250,71029,30042,68862,80294,N,44353
0500000US50005,50005,"Caledonia County, Vermont",45089,55605,64268,25620,57251,68185,75742,34460
0500000US50007,50007,"Chittenden County, Vermont",64243,86364,97229,38561,83432,104958,119003,49957
0500000US50009,50009,"Essex County, Vermont",35567,45913,54286,20078,46580,55531,N,28261
0500000US50011,50011,"Franklin County, Vermont",57159,69740,79085,32154,70475,81794,93119,39623
0500000US50013,50013,"Grand Isle County, Vermont",61338,73367,79571,34926,81600,95222,N,47334
0500000US50015,50015,"Lamoille County, Vermont",50447,62101,72109,30436,64122,77385,N,41988
0500000US50017,50017,"Orange County, Vermont",53114,64317,72267,33841,65531,75595,N,41085
0500000US50019,50019,"Orleans County, Vermont",41437,54020,61650,24701,53855,64576,74095,33404
0500000US50021,50021,"Rutland County, Vermont",48308,61471,68885,28324,61502,74156,83212,37871
0500000US50023,50023,"Washington County, Vermont",58293,71628,84325,33803,71356,84964,N,45098
0500000US50025,50025,"Windham County, Vermont",50526,63709,71268,31809,63197,76288,85029,42426
0500000US50027,50027,"Windsor County, Vermont",53610,70342,79118,30073,71874,88271,N,41746
0500000US51001,51001,"Accomack County, Virginia",39389,49508,61227,19799,53280,65377,N,28996
0500000US51003,51003,"Albemarle County, Virginia",67958,89644,103237,39309,96760,119374,N,54259
0500000US51005,51005,"Alleghany County, Virginia",45183,60947,67136,22791,56775,68954,N,32315
0500000US51007,51007,"Amelia County, Virginia",55870,66519,73412,30517,68135,77233,N,38492
0500000US51009,51009,"Amherst County, Virginia",44765,57464,70257,24511,56637,67890,N,30495
0500000US51011,51011,"Appomattox County, Virginia",47927,58812,69217,21177,57158,66075,N,27598
0500000US51013,51013,"Arlington County, Virginia",105120,138131,159339,88685,136943,172153,195458,105146
0500000US51015,51015,"Augusta County, Virginia",54018,62079,69489,30898,67924,75649,N,44357
0500000US51017,51017,"Bath County, Virginia",46153,55650,55694,36543,67050,85369,N,39157
0500000US51019,51019,"Bedford County, Virginia",56043,69482,76029,29286,70033,82793,N,36674
0500000US51021,51021,"Bland County, Virginia",43508,55966,59482,21984,48992,59763,N,25276
0500000US51023,51023,"Botetourt County, Virginia",63011,72842,78285,33575,81917,90202,N,49666
0500000US51025,51025,"Brunswick County, Virginia",37028,48958,56667,21170,49106,58440,N,27568
0500000US51027,51027,"Buchanan County, Virginia",29678,39722,48278,17442,43691,50013,N,27002
0500000US51029,51029,"Buckingham County, Virginia",38484,51165,64080,25433,51420,58873,N,30104
0500000US51031,51031,"Campbell County, Virginia",47055,57162,65879,26384,58630,68568,N,32761
0500000US51033,51033,"Caroline County, Virginia",58417,64552,79844,34729,71866,78401,N,43685
0500000US51035,51035,"Carroll County, Virginia",33495,42914,51003,20598,45115,52960,N,26819
0500000US51036,51036,"Charles City County, Virginia",48088,59639,69167,29353,62314,72882,N,38472
0500000US51037,51037,"Charlotte County, Virginia",34820,40885,46504,15903,44568,53835,N,22320
0500000US51041,51041,"Chesterfield County, Virginia",72514,84387,97420,42024,89852,102331,115708,53324
0500000US51043,51043,"Clarke County, Virginia",75508,97674,115050,35657,96721,116058,N,54503
0500000US51045,51045,"Craig County, Virginia",46658,63750,70688,25195,55145,66636,N,27865
0500000US51047,51047,"Culpeper County, Virginia",65235,74495,85654,39581,79396,87423,N,49168
