PERMIT.NUMBER,OWNER.NAME,OPERATING.NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY,full_address,Lat,Lng
AK-S-15000,GLACIER CREEK DISTILLERY LLC,Â,1540 N SHORELINE DR,WASILLA,AK,99654,0,MATANUSKA SUSITNA,1540 N SHORELINE DR WASILLA AK 99654,61.5964033,-149.338887
AK-S-20001,"HIGH MARK DISTILLERY, INC.",Â,37200 THOMAS ST,STERLING,AK,99672,0,Kenai Peninsula Burough,37200 THOMAS ST STERLING AK 99672,60.5201675,-150.8265545
AK-S-20002,ROBERT BORLAND,URSA MAJOR DISTILLING,3738 MARIPOSA LN,FAIRBANKS,AK,99709,0,Fairbanks North Star Borough,3738 MARIPOSA LN FAIRBANKS AK 99709,64.7858935,-148.0317578
AK-S-20003,PORT CHILKOOT DISTILLERY LLC,PORT CHILKOOT DISTILLERY,34 BLACKSMITH ST,HAINES,AK,99827,0,Haines Borough,34 BLACKSMITH ST HAINES AK 99827,59.2282797,-135.4419166
AK-S-20004,PATRICK LEVY,FAIRBANKS DISTILLING COMPANY,410 CUSHMAN ST,FAIRBANKS,AK,99701,0,Fairbanks North Star Borough,410 CUSHMAN ST FAIRBANKS AK 99701,64.8418325,-147.7213082
AK-S-20005,"BIG BEAR ENTERPRISES, LLC. URSA MAJOR DISTILLING",URSA MAJOR DISTILLING,2922 GEORGE PARKS HWY,FAIRBANKS,AK,99709,0,Â,2922 GEORGE PARKS HWY FAIRBANKS AK 99709,64.8492651,-147.9415366
AK-S-20006,ANCHORAGE DISTILLERY LLC,Â,6310 A ST,ANCHORAGE,AK,99518,1821,Â,6310 A ST ANCHORAGE AK 99518,61.1636513,-149.8821662
AK-S-20007,"TWISTER CREEK, LLC",Â,37083 S TALKEETNA SPUR RD,TALKEETNA,AK,99676,0,Matanuska-Susitna Borough,37083 S TALKEETNA SPUR RD TALKEETNA AK 99676,62.1570664,-150.030587
AK-S-20008,SKAGWAY SPIRITS LLC,Â,941 ALASKA ST,SKAGWAY,AK,99840,0,Skagway,941 ALASKA ST SKAGWAY AK 99840,59.4594928,-135.3154955
AK-S-20009,ARCTIC HARVEST LLC,ARCTIC HARVEST,4753 EIELSON FARM RD,NORTH POLE,AK,99705,0,Â,4753 EIELSON FARM RD NORTH POLE AK 99705,64.6613682,-147.1480194
AL-S-20001,"HIGH RIDGE SPIRITS, LLC.",Â,12761 COUNTY ROAD 7,TROY,AL,36081,7131,Bullock,12761 COUNTY ROAD 7 TROY AL 36081,32.018391,-85.8892047
AL-S-20002,"MAD COUNTY WINERY, LLC",Â,"121 CASTLE DR, NW",HUNTSVILLE,AL,35758,0,Madison,"121 CASTLE DR, NW HUNTSVILLE AL 35758",34.7496425,-86.7083553
AL-S-20003,JOHN EMERALD DISTILLING COMPANY LLC,Â,706 N RAILROAD AVE,OPELIKA,AL,36801,0,Lee,706 N RAILROAD AVE OPELIKA AL 36801,32.6491845,-85.3789086
AL-S-20004,"BIG ESCAMBIA SPIRITS, LLC",Â,1185 GOAT FEATHERS LN,ATMORE,AL,36502,0,Escambia,1185 GOAT FEATHERS LN ATMORE AL 36502,31.1428272,-87.367802
AL-S-20005,BLUE PANTS BREWERY LLC,Â,500 LANIER RD,MADISON,AL,35758,0,USA,500 LANIER RD MADISON AL 35758,34.6851568,-86.7389951
AL-S-20006,GIBSON DISTILLING INC.,Â,228 KEELARNEY LN,DOTHAN,AL,36303,0,Houston,228 KEELARNEY LN DOTHAN AL 36303,31.278575,-85.427541
AL-S-20007,"IRONS DISTILLERY, LLC",Â,2211 SEMINOLE DR,HUNTSVILLE,AL,35805,0,Madison,2211 SEMINOLE DR HUNTSVILLE AL 35805,34.7153887,-86.5969858
AL-S-20008,"REDMONT DISTILLING COMPANY, LLC",Â,"2824 A 5TH AVE, S",BIRMINGHAM,AL,35233,0,Jefferson,"2824 A 5TH AVE, S BIRMINGHAM AL 35233",33.5140759,-86.7894924
AL-S-20009,1185 LLC,PS DISTILLING CO,"3024 3RD AVE, S",BIRMINGHAM,AL,35233,3004,Jefferson,"3024 3RD AVE, S BIRMINGHAM AL 35233",33.5171418,-86.7883449
AL-S-20010,OLD BLACK BEAR BREWING COMPANY LLC,Â,212 MAIN ST,MADISON,AL,35758,0,Madison,212 MAIN ST MADISON AL 35758,34.69336,-86.748316
AL-S-20011,"AVONDALE BREWING COMPANY, LLC",Â,4100 3RD AVE S,BIRMINGHAM,AL,35222,0,Â,4100 3RD AVE S BIRMINGHAM AL 35222,33.524028,-86.773718
AL-S-20012,COUCH HILLS LLC,RAVEN ROCK DISTILLERY,,FRUITHURST,AL,36262,0,united states,FRUITHURST AL 36262,33.7309382,-85.4338442
AL-S-20013,"WOLF CREEK DISTILLERIES, L.L.C.",Â,24225 DAW RD,ELBERTA,AL,36530,0,Baldwin,24225 DAW RD ELBERTA AL 36530,30.377638,-87.6115818
AL-S-20014,CHAPLE DISTILLERY LLC,Â,8367 DUNNAVANT RD,LEEDS,AL,35094,0,Jefferson,8367 DUNNAVANT RD LEEDS AL 35094,33.529434,-86.543677
AL-S-20015,"STRAIGHT TO ALE BRANDS, INC.",Â,2610 CLINTON AVE NW,HUNTSVILLE,AL,35805,0,Madison,2610 CLINTON AVE NW HUNTSVILLE AL 35805,34.7246258,-86.5991906
AR-S-15001,LOMBARDI LLC,LOMBARDI COMPANY,3021 E BROADWAY,NORTH LITTLE ROCK,AR,72114,0,PULASKI,3021 E BROADWAY NORTH LITTLE ROCK AR 72114,34.7557,-92.23254
AR-S-15002,"PERNOD RICARD USA BOTTLING, LLC",PERNOD RICARD USA,7401 HIGHWAY 45 S,FORT SMITH,AR,72916,9393,SEBASTIAN,7401 HIGHWAY 45 S FORT SMITH AR 72916,35.312679,-94.385064
AR-S-15003,"ROCK TOWN DISTILLERY, INC.",ROCK TOWN DISTILLERY,1216 E 6TH ST,LITTLE ROCK,AR,72202,2712,PULASKI,1216 E 6TH ST LITTLE ROCK AR 72202,34.7422148,-92.2569258
AR-S-20001,ARKANSAS MOONSHINE INC.,Â,421 BEECH ST,NEWPORT,AR,72112,3905,Jackson,421 BEECH ST NEWPORT AR 72112,35.608478,-91.2809582
AR-S-20002,"WHITE RIVER DISTILLERY, INC.",Â,150 NANCY ST,GASSVILLE,AR,72635,8524,baxter,150 NANCY ST GASSVILLE AR 72635,36.3057625,-92.5216283
AR-S-20003,CORE BREWING AND DISTILLING COMPANY,CORE DISTILLING COMPANY,2470 LOWELL RD,SPRINGDALE,AR,72764,0,Washington,2470 LOWELL RD SPRINGDALE AR 72764,36.206206,-94.1345709
AZ-S-15002,"ONE FIFTY, INC.",Â,1210 W ALAMEDA DR,TEMPE,AZ,85282,3340,MARICOPA,1210 W ALAMEDA DR TEMPE AZ 85282,33.4010986,-111.9576088
AZ-S-15004,"FORWARD BRANDS, LLC.",Â,5202 W LAMAR RD,GLENDALE,AZ,85301,0,MARICOPA,5202 W LAMAR RD GLENDALE AZ 85301,33.5366733,-112.17082
AZ-S-15005,"DESERT DIAMOND DISTILLERY, INC.",Â,4875 OLYMPIC WAY,KINGMAN,AZ,86401,0,MOHAVE,4875 OLYMPIC WAY KINGMAN AZ 86401,35.2588113,-113.9506225
AZ-S-15006,SONORAN SPIRITS LLC,Â,1725 W WILLIAMS DR,PHOENIX,AZ,85027,1332,MARICOPA,1725 W WILLIAMS DR PHOENIX AZ 85027,33.6896223,-112.0963767
AZ-S-15008,"FORWARD BRANDS, LLC.",Â,100 EASY ST,CAREFREE,AZ,85377,0,MARICOPA,100 EASY ST CAREFREE AZ 85377,33.824072,-111.9226583
AZ-S-15010,HAMILTON DISTILLERS GROUP LLC,Â,2106 N FORBES AVE,TUCSON,AZ,85745,0,PIMA,2106 N FORBES AVE TUCSON AZ 85745,32.248143,-110.992386
AZ-S-15011,CASKWERKS DISTILLING CO.,Â,1920 E UNIVERSITY DR,TEMPE,AZ,85281,0,MARICOPA,1920 E UNIVERSITY DR TEMPE AZ 85281,33.42262,-111.904519
AZ-S-20001,ARIZONA SPIRITS LLC,ARIZONA DISTILLING CO.,601 W UNIVERSITY DR,TEMPE,AZ,85281,0,MARICOPA,601 W UNIVERSITY DR TEMPE AZ 85281,33.4215541,-111.947455
AZ-S-20002,LIPSMARK LLC,Â,5235 S KYRENE RD,TEMPE,AZ,85283,1780,MARICOPA,5235 S KYRENE RD TEMPE AZ 85283,33.3769831,-111.944733
AZ-S-20004,"CANYON DIABLO SPIRITS, LLC",CANYON DIABLO SPIRITS,506 N GRANT ST,FLAGSTAFF,AZ,86004,6024,Coconino,506 N GRANT ST FLAGSTAFF AZ 86004,35.1961986,-111.6202985
AZ-S-20005,"ARIZONA CRAFT BEVERAGE, INC.",Â,15 N FOURTH ST,TOMBSTONE,AZ,85638,0,Cochise,15 N FOURTH ST TOMBSTONE AZ 85638,31.7143336,-110.0666035
AZ-S-20006,"FROSTY 3, LLC",O.H.S.O. EATERY + DISTILLERY,15681 N HAYDEN RD,SCOTTSDALE,AZ,85260,0,Maricopa,15681 N HAYDEN RD SCOTTSDALE AZ 85260,33.6276028,-111.8934818
AZ-S-20007,THREE WELLS DISTILLING COMPANY,Â,3780 E 44TH ST,TUCSON,AZ,85713,5700,Pima,3780 E 44TH ST TUCSON AZ 85713,32.1850076,-110.9118756
AZ-S-20008,"SAN TAN BREWING COMPANY, INC.",SANTAN CRAFT DISTILLING,495 E WARNER RD,CHANDLER,AZ,85225,0,Maricopa,495 E WARNER RD CHANDLER AZ 85225,33.3345235,-111.8336933
AZ-S-20009,LUCIDI DISTILLING CO LLC,Â,8307 W WASHINGTON ST,PEORIA,AZ,85345,0,Maricopa,8307 W WASHINGTON ST PEORIA AZ 85345,33.580141,-112.238052
AZ-S-20010,PARADOX DISTILLERY LLC,PARADOX DISTILLERY,1725 W WILLIAMS DR,PHOENIX,AZ,85027,2046,Maricopa,1725 W WILLIAMS DR PHOENIX AZ 85027,33.6896223,-112.0963767
AZ-S-20011,"FLYING LEAP VINEYARDS, INC.",FLYING LEAP DISTILLERY,342 ELGIN RD,ELGIN,AZ,85611,0,Santa Cruz,342 ELGIN RD ELGIN AZ 85611,31.6590149,-110.5483907
AZ-S-20012,FRANCHISE ENTERPRISES LLC,BLACK MOUNTAIN DISTILLERY,30855 N CAVE CREEK RD,PHOENIX,AZ,85331,0,Maricopa,30855 N CAVE CREEK RD PHOENIX AZ 85331,33.7662795,-111.9831601
AZ-S-20013,STEPHEN BECKER,OLD SCHOOL DISTILLERY,6509 W FRYE RD,CHANDLER,AZ,85226,0,MARICOPA,6509 W FRYE RD CHANDLER AZ 85226,33.2984233,-111.9546962
AZ-S-20014,THUNDER CANYON DISTILLERY LLC,THUNDER CANYON DISTILLERY,220 E BROADWAY BLVD,TUCSON,AZ,85701,0,Pima,220 E BROADWAY BLVD TUCSON AZ 85701,32.2209054,-110.9665428
AZ-S-20015,RED MOUNTAIN DISTILLING AND SPIRITS LLC,Â,625 S SMITH RD,TEMPE,AZ,85281,0,Â,625 S SMITH RD TEMPE AZ 85281,33.4242268,-111.8998004
AZ-S-20016,THE INDEPENDENT DISTILLERY LLC,THE INDEPENDENT DISTILLERY,30 S ARIZONA AVE,TUCSON,AZ,85701,0,Arizona,30 S ARIZONA AVE TUCSON AZ 85701,32.221583,-110.968175
AZ-S-20017,"THUMB BUTTE DISTILLERY, INC",Â,400 N. WASHINGTON AVE,PRESCOTT,AZ,86301,0,Yavapai,400 N. WASHINGTON AVE PRESCOTT AZ 86301,34.5472381,-112.4608751
AZ-S-20018,LEGACY DISTILLING LLC,LEGACY DISTILLING,1725 W WILLIAMS DR,PHOENIX,AZ,85027,0,Maricopa,1725 W WILLIAMS DR PHOENIX AZ 85027,33.6896223,-112.0963767
AZ-S-20019,"ADVENTUROUS STILLS, LLC",Â,2125 E 5TH ST,TEMPE,AZ,85281,0,Maricopa,2125 E 5TH ST TEMPE AZ 85281,33.42528,-111.8951112
CA-S-117,"FRANK-LIN DISTILLERS PRODUCTS, LTD.",Â,2455 HUNTINGTON DR,FAIRFIELD,CA,94533,0,SOLANO,2455 HUNTINGTON DR FAIRFIELD CA 94533,38.2781211,-121.9717077
CA-S-125,GIUMARRA VINEYARDS CORPORATION,Â,11220 EDISON HWY,EDISON,CA,93220,0,KERN,11220 EDISON HWY EDISON CA 93220,35.352303,-118.883113
CA-S-135,VIE-DEL COMPANY,Â,11903 S CHESTNUT AVE,FRESNO,CA,93725,9618,FRESNO,11903 S CHESTNUT AVE FRESNO CA 93725,36.563229,-119.739137
CA-S-15001,O'NEILL BEVERAGES CO. LLC,O'NEILL VINTNERS & DISTILLERS,8418 S LAC JAC AVE,PARLIER,CA,93648,9708,FRESNO,8418 S LAC JAC AVE PARLIER CA 93648,36.61256,-119.482435
CA-S-15002,MODERN SPIRITS LLC,GREENBAR COLLECTIVE,2459 E 8TH ST,LOS ANGELES,CA,90021,0,LOS ANGELES,2459 E 8TH ST LOS ANGELES CA 90021,34.02986,-118.228132
CA-S-15004,GEORGE H MONTEVERDI AND MANBIN K MONTEVERDI,MONTEVERDI SPIRITS,1794 TANEN ST,NAPA,CA,94559,1310,NAPA,1794 TANEN ST NAPA CA 94559,38.3069023,-122.2863304
CA-S-15005,CIMA COLLINA WINERY LLC,Â,3344 PAUL DAVIS DR,MARINA,CA,93933,2261,MONTEREY,3344 PAUL DAVIS DR MARINA CA 93933,36.6993292,-121.7938737
CA-S-15007,HALTER WINERY LLC,HALTER WINERY,8910 ADELAIDA RD,PASO ROBLES,CA,93446,8798,SAN LUIS OBISPO,8910 ADELAIDA RD PASO ROBLES CA 93446,35.6394216,-120.8545096
CA-S-15008,"SAVANNAH-CHANELLE VINEYARDS, INC.",Â,23600 CONGRESS SPRINGS RD,SARATOGA,CA,95070,9755,SANTA CLARA,23600 CONGRESS SPRINGS RD SARATOGA CA 95070,37.255925,-122.1091274
CA-S-15009,"MARIAN TRADING, LTD.",MARIAN FARMS,2305 N ROLINDA AVE,FRESNO,CA,93723,0,FRESNO,2305 N ROLINDA AVE FRESNO CA 93723,36.770156,-119.963262
CA-S-15010,STAGLIN FAMILY VINEYARD LLC,Â,1570 BELLA OAKS LN,RUTHERFORD,CA,94573,0,NAPA,1570 BELLA OAKS LN RUTHERFORD CA 94573,38.440094,-122.428426
CA-S-15012,"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",Â,800 S ALTA ST,GONZALES,CA,93926,9501,MONTEREY,800 S ALTA ST GONZALES CA 93926,36.500812,-121.43393
CA-S-15013,"BROTHERS INTERNATIONAL DESSERTS, INC.",Â,1682 KETTERING,IRVINE,CA,92614,5614,ORANGE,1682 KETTERING IRVINE CA 92614,33.6971548,-117.8473521
CA-S-15014,"GREENWAY DISTILLERS, INC",Â,5000 LOW GAP RD,UKIAH,CA,95482,0,MENDOCINO,5000 LOW GAP RD UKIAH CA 95482,39.165451,-123.274433
CA-S-15016,"TREFETHEN VINEYARDS WINERY, INC.",TREFETHEN VINEYARDS,1160 OAK KNOLL AVE,NAPA,CA,94558,1303,NAPA,1160 OAK KNOLL AVE NAPA CA 94558,38.3547852,-122.3262367
CA-S-15018,"FOG'S END DISTILLERY, LLC",Â,425 ALTA ST,GONZALES,CA,93926,0,MONTEREY,425 ALTA ST GONZALES CA 93926,36.506529,-121.448486
CA-S-15019,"ST. SUPERY, INC.",ST. SUPERY VINEYARDS & WINERY,8440 ST HELENA HWY,RUTHERFORD,CA,94573,0,NAPA,8440 ST HELENA HWY RUTHERFORD CA 94573,38.4552938,-122.4141699
CA-S-15020,"LAVA SPRINGS, INC.",Â,2221 FRUITRIDGE RD,PLACERVILLE,CA,95667,3700,EL DORADO,2221 FRUITRIDGE RD PLACERVILLE CA 95667,38.7514758,-120.7411028
CA-S-15022,"SPOTTSWOODE WINERY, INC.",Â,1902 MADRONA AVE,SAINT HELENA,CA,94574,2354,NAPA,1902 MADRONA AVE SAINT HELENA CA 94574,38.5000111,-122.4787297
CA-S-15023,G. ROTTIE ENTERTAINMENT INC.,Â,3822 W 139TH ST,HAWTHORNE,CA,90250,7470,LOS ANGELES,3822 W 139TH ST HAWTHORNE CA 90250,33.9053573,-118.3403234
CA-S-15025,"PINE RIDGE WINERY, LLC",PINE RIDGE WINERY,5901 SILVERADO TRL,NAPA,CA,94558,9417,NAPA,5901 SILVERADO TRL NAPA CA 94558,38.4053712,-122.3322907
CA-S-15026,STE. MICHELLE WINE ESTATES LTD.,Â,8711 SILVERADO TRAIL,SAINT HELENA,CA,94574,0,NAPA,8711 SILVERADO TRAIL SAINT HELENA CA 94574,38.4846902,-122.4010746
CA-S-15028,TREANA WINERY LLC,TREANA WINERY,4280 SECONDWIND WAY,PASO ROBLES,CA,93447,0,SAN LUIS OBISPO,4280 SECONDWIND WAY PASO ROBLES CA 93447,35.6634974,-120.6258216
CA-S-15029,"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",Â,2399 N STATE ST,UKIAH,CA,95482,3129,MENDOCINO,2399 N STATE ST UKIAH CA 95482,39.1805233,-123.2084578
CA-S-15031,CASTORO CELLARS,Â,6465 VON DOLLEN RD,SAN MIGUEL,CA,93451,9567,SAN LUIS OBISPO,6465 VON DOLLEN RD SAN MIGUEL CA 93451,35.7332574,-120.5814147
CA-S-15033,"VENTURA LIMONCELLO COMPANY, LLC",VENTURA LIMONCELLO COMPANY,2646 PALMA DR,VENTURA,CA,93003,7738,VENTURA,2646 PALMA DR VENTURA CA 93003,34.2487988,-119.2262732
CA-S-15036,SCHEID VINEYARDS CALIFORNIA INC.,Â,1972 HOBSON AVE,GREENFIELD,CA,93927,9605,MONTEREY,1972 HOBSON AVE GREENFIELD CA 93927,36.2755232,-121.1867555
CA-S-15039,HAHN ESTATE,Â,37700 FOOTHILL RD,SOLEDAD,CA,93960,9620,MONTEREY,37700 FOOTHILL RD SOLEDAD CA 93960,36.3899382,-121.3655168
CA-S-15040,"FERRARI-CARANO VINEYARDS AND WINERY, LLC",FERRARI-CARANO VINEYARDS AND WINERY,2450 HIGHWAY 128,GEYSERVILLE,CA,95441,0,SONOMA,2450 HIGHWAY 128 GEYSERVILLE CA 95441,38.7038649,-122.8692917
CA-S-15042,"STAG'S LEAP WINE CELLARS, LLC",STAG'S LEAP WINE CELLARS,5766 SILVERADO TRL,NAPA,CA,94558,6209,NAPA,5766 SILVERADO TRL NAPA CA 94558,38.3983978,-122.3243927
CA-S-15044,"CUTWATER SPIRITS, LLC",CUTWATER SPIRITS,10051 OLD GROVE RD,SAN DIEGO,CA,92131,1654,SAN DIEGO,10051 OLD GROVE RD SAN DIEGO CA 92131,32.8985298,-117.1108975
CA-S-15046,"TEMPUS FUGIT, LLC",Â,611 2ND ST,PETALUMA,CA,94952,5123,SONOMA,611 2ND ST PETALUMA CA 94952,38.2310474,-122.630979
CA-S-15047,TALLEY VINEYARDS,Â,3031 LOPEZ DR,ARROYO GRANDE,CA,93420,4999,SAN LUIS OBISPO,3031 LOPEZ DR ARROYO GRANDE CA 93420,35.1774916,-120.523444
CA-S-15049,"PARAGON VINEYARD CO., INC.",ORCUTT ROAD CELLARS,4915 ORCUTT RD,SAN LUIS OBISPO,CA,93401,8335,SAN LUIS OBISPO,4915 ORCUTT RD SAN LUIS OBISPO CA 93401,35.2392805,-120.6078811
CA-S-15050,JVW CORPORATION,JORDAN VINEYARD & WINERY,1474 ALEXANDER VALLEY RD,HEALDSBURG,CA,95448,9003,SONOMA,1474 ALEXANDER VALLEY RD HEALDSBURG CA 95448,38.661705,-122.8500461
CA-S-15051,"VILLA TOSCANO, INC.",VILLA TOSCANO,10600 SHENANDOAH RD,PLYMOUTH,CA,95669,0,AMADOR,10600 SHENANDOAH RD PLYMOUTH CA 95669,38.505968,-120.823134
CA-S-15053,IOTO VIP VENTURES LLC,CAL CZECH DISTILLERY,1209 HIGHWAY 49 NORTH,ANGELS CAMP,CA,95222,0,CALAVERAS,1209 HIGHWAY 49 NORTH ANGELS CAMP CA 95222,38.0915821,-120.5793618
CA-S-15055,CAKEBREAD CELLARS,Â,8300 ST HELENA HWY,RUTHERFORD,CA,94573,0,NAPA,8300 ST HELENA HWY RUTHERFORD CA 94573,38.4479031,-122.4111365
CA-S-15056,"CONSTELLATION BRANDS U.S. OPERATIONS, INC.",CLOS DU BOIS,19410 GEYSERVILLE AVE,GEYSERVILLE,CA,95441,9603,SONOMA,19410 GEYSERVILLE AVE GEYSERVILLE CA 95441,38.6849486,-122.8775663
CA-S-15059,"PELLEGRINI BROS. WINES, INC.",PELLEGRINI FAMILY VINEYARDS,4055 W OLIVET RD,SANTA ROSA,CA,95401,3839,SONOMA,4055 W OLIVET RD SANTA ROSA CA 95401,38.4746237,-122.8213896
CA-S-15060,"BRASSFIELD ESTATE WINERY, LLC",BRASSFIELD ESTATE WINERY,10915 HIGH VALLEY RD,CLEARLAKE OAKS,CA,95423,8526,LAKE,10915 HIGH VALLEY RD CLEARLAKE OAKS CA 95423,39.057982,-122.711123
CA-S-15062,"TERRAVANT WINE COMPANY, LLC",TERRAVANT WINE COMPANY,35 INDUSTRIAL WAY,BUELLTON,CA,93427,9565,SANTA BARBARA,35 INDUSTRIAL WAY BUELLTON CA 93427,34.6092725,-120.2026223
CA-S-15064,"THE AGRICULTURAL FOUNDATION OF CALIFORNIA STATE UNIVERSITY, FRESNO",FRESNO STATE VINEYARDS,2360 E BARSTOW AVE,FRESNO,CA,93740,8003,FRESNO,2360 E BARSTOW AVE FRESNO CA 93740,36.8164436,-119.7474886
CA-S-15065,"PHASE 2 CELLARS, LLC",TOLOSA WINERY,4910 EDNA RD,SAN LUIS OBISPO,CA,93401,7938,SAN LUIS OBISPO,4910 EDNA RD SAN LUIS OBISPO CA 93401,35.2312376,-120.6244315
CA-S-15068,"YERBA BUENA BEVERAGE, LLC",TREASURE ISLAND BRANDS,990 13TH ST,SAN FRANCISCO,CA,94130,1222,SAN FRANCISCO,990 13TH ST SAN FRANCISCO CA 94130,37.8289982,-122.3690017
CA-S-15070,THE WINE GROUP LLC,ALMADEN-MADERA,22004 ROAD 24,MADERA,CA,93638,9405,MADERA,22004 ROAD 24 MADERA CA 93638,37.077971,-120.121104
CA-S-15071,CEDAR RIDGE APPLE RANCH LLC,Â,14679 SUMMERS LN,SONORA,CA,95370,9491,TUOLUMNE,14679 SUMMERS LN SONORA CA 95370,38.0118663,-120.3201535
CA-S-15072,"RONEY CONCESSIONAIRE, LLC",RONEY CONCESSIONAIRE,21684 EIGHTH ST E,SONOMA,CA,95476,0,SONOMA,21684 EIGHTH ST E SONOMA CA 95476,38.2598449,-122.4367049
CA-S-15073,"BIN TO BOTTLE, LLC",BIN TO BOTTLE,110 CAMINO ORUGA,NAPA,CA,94558,0,NAPA,110 CAMINO ORUGA NAPA CA 94558,38.2292017,-122.2557327
CA-S-15074,"RONEY CONCESSIONAIRE, LLC",RONEY CONCESSIONAIRE,13300 BUCKMAN DR,HOPLAND,CA,95449,0,MENDOCINO,13300 BUCKMAN DR HOPLAND CA 95449,38.9782899,-123.0480874
CA-S-15076,"LAGUNA OAKS VINEYARDS & WINERY, INC.",BALLETTO VINEYARDS,5700 OCCIDENTAL RD,SANTA ROSA,CA,95401,5533,SONOMA,5700 OCCIDENTAL RD SANTA ROSA CA 95401,38.4198844,-122.8141582
CA-S-15077,"STONECUSHION, INC.",JEPSON VINEYARDS,10400 S HIGHWAY 101,HOPLAND,CA,95449,9650,MENDOCINO,10400 S HIGHWAY 101 HOPLAND CA 95449,39.0133607,-123.1281871
CA-S-15080,"CREATIVE ALCOHOL SOLUTIONS, LLC",Â,1010 INDUSTRIAL WAY,KING CITY,CA,93930,2506,MONTEREY,1010 INDUSTRIAL WAY KING CITY CA 93930,36.2272893,-121.1123078
CA-S-15081,HELLOCELLO LLC,Â,21877 EIGHT ST E,SONOMA,CA,95476,0,SONOMA,21877 EIGHT ST E SONOMA CA 95476,38.2584792,-122.4411698
CA-S-15082,OLD WORLD SPIRITS L.L.C.,Â,121 INDUSTRIAL RD,BELMONT,CA,94002,8208,SAN MATEO,121 INDUSTRIAL RD BELMONT CA 94002,37.5212333,-122.2656069
CA-S-15085,"NAPA VALLEY LIMONCELLO COMPANY, LLC",NAPA VALLEY DISTILLERY,2485 STOCKTON ST,NAPA,CA,94559,3143,NAPA,2485 STOCKTON ST NAPA CA 94559,38.2941291,-122.3016619
CA-S-15086,GERARDO DONATO IULIANO,LA BORGATA,7539 PLEASANTS VALLEY RD,VACAVILLE,CA,95688,9005,SOLANO,7539 PLEASANTS VALLEY RD VACAVILLE CA 95688,38.42563,-122.049816
CA-S-15087,"FRANCISCAN VINEYARDS, INC.",Â,26200 ARNOLD DR,SONOMA,CA,95476,0,SONOMA,26200 ARNOLD DR SONOMA CA 95476,38.190479,-122.441462
CA-S-15088,"DOMAINE CARNEROS, LTD.",DOMAINE CARNEROS,1240 DUHIG ROAD,NAPA,CA,94559,9713,NAPA,1240 DUHIG ROAD NAPA CA 94559,38.2554415,-122.351327
CA-S-15089,"SOUZA ENTERPRISES, INC.","HIGH ROLLER SPIRITS, INC",3133 HULL RD,ATWATER,CA,95301,9529,MERCED,3133 HULL RD ATWATER CA 95301,37.333017,-120.624945
CA-S-15090,COLD COCKED BEVERAGES LLC,COLD COCKED BEVERAGE COMPANY,2020 DENNISON ST,OAKLAND,CA,94606,5251,ALAMEDA,2020 DENNISON ST OAKLAND CA 94606,37.7804607,-122.2406064
CA-S-15091,"TAMAR DISTILLERY, INC.",AMERICAN CRAFT WHISKEY DISTILLERY,1110 BEL ARBRES DR,REDWOOD VALLEY,CA,95470,9695,MENDOCINO,1110 BEL ARBRES DR REDWOOD VALLEY CA 95470,39.2568073,-123.2386078
CA-S-15093,"VALLEY SPIRITS, L.L.C.",Â,3084 FARRAR AVE,MODESTO,CA,95354,0,STANISLAUS,3084 FARRAR AVE MODESTO CA 95354,37.6345283,-120.9363133
CA-S-15094,"INVESTORS OF AMERICA, LP, FIRST SECURITIES OF AMERICA, INC., GP",DIERBERG VINEYARD,2121 ALISOS AVE,SANTA YNEZ,CA,93460,9390,SANTA BARBARA,2121 ALISOS AVE SANTA YNEZ CA 93460,34.6668955,-119.9910607
CA-S-15095,CALIFORNIA NATURAL PRODUCTS,Â,1250 E LATHROP RD,LATHROP,CA,95330,9709,SAN JOAQUIN,1250 E LATHROP RD LATHROP CA 95330,37.8248954,-121.2731326
CA-S-15096,"YAKUT VINEYARDS, INC.",ALEX'S RED BARN WINERY,39820 CALLE CONTENTO,TEMECULA,CA,92591,5039,RIVERSIDE,39820 CALLE CONTENTO TEMECULA CA 92591,33.5341277,-117.0732609
CA-S-15097,"AMERICAN WINESECRETS, LLC",WINESECRETS,1446 INDUSTRIAL AVE,SEBASTOPOL,CA,95472,0,SONOMA,1446 INDUSTRIAL AVE SEBASTOPOL CA 95472,38.3857924,-122.8113823
CA-S-15098,"SONOMA COUNTY DISTILLING COMPANY, LLC",SONOMA COUNTY DISTILLING COMPANY,5701 STATE FARM DR,ROHNERT PARK,CA,94928,2129,SONOMA,5701 STATE FARM DR ROHNERT PARK CA 94928,38.355156,-122.7086553
CA-S-15100,THE HESS COLLECTION WINERY,Â,1166 COMMERCE BLVD,AMERICAN CANYON,CA,94503,9621,NAPA,1166 COMMERCE BLVD AMERICAN CANYON CA 94503,38.190717,-122.270331
CA-S-15102,DA VE WINERY INC.,FIOR DI SOLE,2515 NAPA VALLEY CORPORATE DR,NAPA,CA,94558,7541,NAPA,2515 NAPA VALLEY CORPORATE DR NAPA CA 94558,38.2554498,-122.2753699
