PERMIT.NUMBER,OWNER.NAME,OPERATING.NAME,STREET,CITY,STATE,ZIP,ZIP4,COUNTY,full_address,Lat,Lng
MA-S-20017,"DEACON GILES, INC.",DEACON GILES DISTILLERY,75 CANAL ST,SALEM,MA,1970,0,Â,75 CANAL ST SALEM MA 1970,42.5128645,-70.896155
MA-S-20018,"BEAVER POND DISTILLERY, INC.",BEAVER POND DISTILLERY,88 WOODWARD RD,PETERSHAM,MA,1366,0,Â,88 WOODWARD RD PETERSHAM MA 1366,42.4307737,-72.1971574
MA-S-20019,"SILVERSMITH SPIRITS, LLC",SILVERSMITH SPIRITS,42 WINTER ST,PEMBROKE,MA,2359,0,plymouth,42 WINTER ST PEMBROKE MA 2359,42.101793,-70.762661
MA-S-20020,DOWNEAST CIDER HOUSE LLC,SUFFOLK DISTILLING COMPANY,200 TERMINAL ST,CHARLSETOWN,MA,2129,0,Â,200 TERMINAL ST CHARLSETOWN MA 2129,42.3831484,-71.0499465
MA-S-20021,"FIVE FOXES SPIRITS, LLC",FIVE FOXES SPIRITS,271 WESTERN AVE,LYNN,MA,1904,0,Essex,271 WESTERN AVE LYNN MA 1904,42.4764416,-70.9504001
MA-S-20022,"MARTHA'S VINEYARD DISTILLING COMPANY, INC.",MARTHA'S VINEYARD DISTILLING COMPANY,190 CHAPPAQUONSETT RD,VINEYARD HAVEN,MA,2568,0,Dukes,190 CHAPPAQUONSETT RD VINEYARD HAVEN MA 2568,41.451281,-70.6342
MA-S-20023,"SILVER BEAR DISTILLERY, LLC",Â,63 FLANSBURG AVE,DALTON,MA,1226,0,Berkshire,63 FLANSBURG AVE DALTON MA 1226,42.4745527,-73.1728724
MA-S-20024,"CAPE AND ISLAND DISTILLERS, LLC",Â,8 JAN SEBASTIAN DR,SANDWICH,MA,2563,0,Â,8 JAN SEBASTIAN DR SANDWICH MA 2563,41.7175024,-70.48603
MA-S-72,"M. S. WALKER, INC.",Â,20 3RD AVE,SOMERVILLE,MA,2143,4450,MIDDLESEX,20 3RD AVE SOMERVILLE MA 2143,42.3760842,-71.0783602
MA-S-96,"NASHOBA VALLEY SPIRITS, LTD.",Â,100 WATTAQUADOCK HILL RD,BOLTON,MA,1740,1238,WORCESTER,100 WATTAQUADOCK HILL RD BOLTON MA 1740,42.4301614,-71.6162721
MA-S-98,"TRIPLE EIGHT DISTILLERY, LLC",Â,5 BARTLETT FARM RD,NANTUCKET,MA,2554,4341,NANTUCKET,5 BARTLETT FARM RD NANTUCKET MA 2554,41.263609,-70.131438
MD-S-15000,"FIORE WINERY, INC.",Â,3026 WHITEFORD RD,PYLESVILLE,MD,21132,1212,HARFORD,3026 WHITEFORD RD PYLESVILLE MD 21132,39.709313,-76.400539
MD-S-15002,"BLACKWATER DISTILLING, INC.",Â,184 LOG CANOE CIR,STEVENSVILLE,MD,21666,0,QUEEN ANNES,184 LOG CANOE CIR STEVENSVILLE MD 21666,38.9891562,-76.3195616
MD-S-15004,"THE LAZY LIZARD, LLC",Â,310 E MARKET ST,SNOW HILL,MD,21863,0,WORCESTER,310 E MARKET ST SNOW HILL MD 21863,38.1790629,-75.3899603
MD-S-17,"DIAGEO AMERICAS SUPPLY, INC.",Â,5001 WASHINGTON BLVD,BALTIMORE,MD,21227,0,BALTIMORE,5001 WASHINGTON BLVD BALTIMORE MD 21227,39.2240279,-76.6964916
MD-S-20001,SPRINGFIELD MANOR WINERY & DISTILLERY LLC,Â,11836 AUBURN RD,THURMONT,MD,21788,2309,Frederick,11836 AUBURN RD THURMONT MD 21788,39.5587046,-77.4335382
MD-S-20002,"HENRY M. WRIGHT & CO., INC.",Â,4804 BENSON AVE,BALTIMORE,MD,21227,1501,Â,4804 BENSON AVE BALTIMORE MD 21227,39.2555742,-76.6870551
MD-S-20003,"LYON DISTILLING COMPANY, LLC",Â,605 S TALBOT ST,ST MICHAELS,MD,21663,0,Â,605 S TALBOT ST ST MICHAELS MD 21663,38.7812889,-76.2220296
MD-S-20004,"1ST DISTILLERY OF USA, LLC",Â,"11501 BEDFORD RD, NE",CUMBERLAND,MD,21502,6874,ALLEGANY COUNTY,"11501 BEDFORD RD, NE CUMBERLAND MD 21502",39.6817089,-78.7347459
MD-S-20005,CELICAR L.L.C.,TWIN VALLEY DISTILLERS,"711 E GUDE DR, ROCKVILLE BAY 'D'",ROCKVILLE,MD,20850,0,Montgomery,"711 E GUDE DR, ROCKVILLE BAY 'D' ROCKVILLE MD 20850",39.1024855,-77.1436606
MD-S-20006,"CASSINELLI WINERY & VINEYARDS, LLC",Â,"323, 325, 327 HIGH ST.",CHESTERTOWN,MD,21620,0,Â,"323, 325, 327 HIGH ST. CHESTERTOWN MD 21620",39.2092854,-76.0668555
MD-S-20007,"LOUTHAN DISTILLING, LLC",Â,3005 MONTEBELLO TRCE,BALTIMORE,MD,21214,0,Â,3005 MONTEBELLO TRCE BALTIMORE MD 21214,39.3395872,-76.5725561
MD-S-20008,BUTLER MANUFACTURING LLC,ARCTICBUZZ,3150 BALTIMORE BLVD,FINKSBURG,MD,21048,0,Carroll County,3150 BALTIMORE BLVD FINKSBURG MD 21048,39.4911431,-76.8819664
MD-S-20009,"THE BALTIMORE WHISKEY COMPANY, LLC",THE BALTIMORE WHISKEY COMPANY,2800 SISSON ST,BALTIMORE,MD,21211,0,Baltimore,2800 SISSON ST BALTIMORE MD 21211,39.3195391,-76.6259904
MD-S-20010,"SAZERAC DISTILLERS, LLC",BARTON BRANDS OF MARYLAND,2200 MONUMENTAL RD,BALTIMORE,MD,21227,4612,Â,2200 MONUMENTAL RD BALTIMORE MD 21227,39.2366689,-76.6722411
MD-S-20011,"WHITE TIGER DISTILLERY, LLC",Â,1625 SONNY SCHULZ BLVD,STEVENSVILLE,MD,21666,0,Queen Anne's,1625 SONNY SCHULZ BLVD STEVENSVILLE MD 21666,38.95474,-76.352882
MD-S-20012,"OLD LINE SPIRITS, LLC",Â,4201 E PRATT ST,BALTIMORE,MD,21224,0,Baltimore City,4201 E PRATT ST BALTIMORE MD 21224,39.290199,-76.561198
MD-S-20013,"TOBACCO BARN DISTILLERY, LLC",Â,24460 HOLLYWOOD RD,HOLLYWOOD,MD,20636,2110,St. Mary's,24460 HOLLYWOOD RD HOLLYWOOD MD 20636,38.3378,-76.5853039
MD-S-20014,"FREDERICK DISTILLING COMPANY, LLC",FREDERICK DISTILLING COMPANY,77 CARROLL CREEK WAY,FREDERICK,MD,21701,7101,Frederick,77 CARROLL CREEK WAY FREDERICK MD 21701,39.4131719,-77.4098981
MD-S-20015,"LOST ARK DISTILLING COMPANY, LLC",LOST ARK DISTILLING COMPANY,"9385 WASHINGTON BLVD, N",LAUREL,MD,20723,0,Howard County,"9385 WASHINGTON BLVD, N LAUREL MD 20723",39.125738,-76.820824
